GENESIS-Tabelle: 11111-006Z
Anzahl der Gemeinden am 01.01., darunter St�dte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
- Kreisgliederung (ab 01.08.2008);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Feststellung des Gebietsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;01.01.1996;01.01.1996;01.01.1997;01.01.1997;01.01.1998;01.01.1998;01.01.1999;01.01.1999;01.01.2000;01.01.2000;01.01.2001;01.01.2001;01.01.2002;01.01.2002;01.01.2003;01.01.2003;01.01.2004;01.01.2004;01.01.2005;01.01.2005;01.01.2006;01.01.2006;01.01.2007;01.01.2007;01.01.2008;01.01.2008;01.08.2008;01.08.2008;01.01.2009;01.01.2009;01.01.2010;01.01.2010;01.01.2011;01.01.2011;01.01.2012;01.01.2012;01.01.2013;01.01.2013;01.01.2014;01.01.2014;01.01.2015;01.01.2015;01.01.2016;01.01.2016;01.01.2017;01.01.2017;01.01.2018;01.01.2018;01.01.2019;01.01.2019;01.01.2020;01.01.2020;01.01.2021;01.01.2021;01.01.2022;01.01.2022;01.01.2023;01.01.2023;01.01.2024;01.01.2024
;;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte;Anzahl der Gemeinden;darunter Anzahl der St�dte
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14;Freistaat Sachsen;860;180;809;180;787;180;546;179;544;179;540;179;537;179;527;179;522;178;515;178;511;178;505;178;499;178;496;178;493;178;485;178;470;175;458;174;438;171;432;171;430;171;426;170;423;170;421;169;419;169;419;169;419;169;419;169;418;169;418;169
145;  Chemnitz, NUTS 2-Region;372;82;353;82;346;82;230;82;228;82;228;82;228;82;224;82;222;82;220;82;218;82;216;82;214;82;213;82;213;82;209;82;205;82;199;82;191;80;189;80;188;80;186;79;184;79;184;79;183;79;183;79;183;79;183;79;182;79;182;79
14511;    Chemnitz, Stadt;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
14521;    Erzgebirgskreis;132;28;125;28;121;28;79;28;78;28;78;28;78;28;77;28;77;28;75;28;74;28;73;28;71;28;71;28;71;28;69;28;68;28;67;28;63;27;62;27;61;27;61;27;60;27;60;27;59;27;59;27;59;27;59;27;59;27;59;27
14522;    Mittelsachsen, Landkreis;95;21;92;21;91;21;68;21;68;21;68;21;68;21;66;21;64;21;64;21;63;21;62;21;62;21;61;21;61;21;61;21;61;21;56;21;54;21;54;21;54;21;53;21;53;21;53;21;53;21;53;21;53;21;53;21;52;21;52;21
14523;    Vogtlandkreis;71;18;71;18;71;18;48;18;48;18;48;18;48;18;47;18;47;18;47;18;47;18;47;18;47;18;47;18;47;18;45;18;42;18;42;18;40;17;39;17;39;17;38;16;37;16;37;16;37;16;37;16;37;16;37;16;37;16;37;16
